Date,Close,High,Low,Open,Volume
2020-12-10,21371.068359375,22013.393778353115,20944.178943001596,21159.42591626183,4689
2020-12-11,21464.86328125,21528.768175724697,21181.250679802215,21181.29886375536,2289
2020-12-14,21704.779296875,21823.623157766753,21206.86859026465,21476.34289360403,3237
2020-12-15,21807.255859375,21918.414382283925,21467.80362743185,21728.738257157544,4148
2020-12-16,21680.44140625,21918.509046145915,21538.96776396157,21916.705854409753,8180
2020-12-17,21505.5703125,21899.533448496768,21349.19855247735,21823.625186976846,2396
2020-12-18,20856.173828125,21717.352645756408,20685.000335437333,21311.24346485883,9246
2020-12-21,20156.537109375,21348.248568143885,20068.245576080855,20874.913510627593,6411
2020-12-22,19957.94140625,20523.695138393654,19736.146966185297,20446.838027611873,7169
2020-12-23,19999.12109375,20314.94650280809,19930.898179734217,20199.186415309603,2386
2020-12-24,20071.279296875,20201.08314640645,20020.80105162875,20191.594615102364,2538
2020-12-28,20263.994140625,20671.95282873102,20068.293170016208,20177.36310301062,2601
2020-12-29,20087.458984375,20411.25513125177,20020.802048644324,20307.4502229699,2069
2020-12-30,19798.390625,20272.248275725215,19651.69829340252,20272.248275725215,5617
2020-12-31,19765.134765625,20019.853665861498,19736.146559074798,19826.28761307057,3242
2021-01-01,20046.9921875,20157.390895980083,19765.27727802756,19765.27727802756,1663
2021-01-04,20072.66015625,20210.575614976795,19987.59508589137,20199.18937519371,3043
2021-01-05,20489.7265625,20778.93778078061,19936.356076167012,20072.659219186404,3048
2021-01-06,20360.87109375,20969.654912789563,20115.687065662387,20661.277634660306,8558
2021-01-07,20519.8984375,20590.11357133774,20338.76199861606,20542.67091333927,3515
2021-01-08,20623.705078125,20778.888913550356,20239.988457320265,20450.63387654698,15435
2021-01-11,20615.96875,20813.092983753122,20352.66201177381,20789.371655984996,14163
2021-01-12,20484.22265625,20664.267549743425,20402.24136967362,20615.733338242895,2681
2021-01-13,20179.78515625,20637.558676262415,20126.126762400098,20495.23068539164,4715
2021-01-14,20020.9921875,20389.9070647104,19925.917835121152,20389.9070647104,3041
2021-01-15,19704.693359375,20160.428330871448,19641.262888277754,20115.689528091225,8978
2021-01-18,20152.408203125,20305.364454587856,19452.5826205399,19806.36217403851,4922
2021-01-19,20366.373046875,20527.67808242202,20121.66530200172,20400.342730946424,5281
2021-01-20,20172.287109375,20444.37076184955,20040.491030520974,20399.394749957763,4467
2021-01-21,19727.65625,20305.459699551473,19641.2624196596,20305.459699551473,11113
2021-01-22,19426.53515625,19803.800673807884,19366.14213222815,19728.555873226836,4163
2021-01-25,18981.998046875,19683.011560080766,18882.17942757459,19629.87577877704,5633
2021-01-27,18830.798828125,19261.626385914853,18783.498864441015,19261.578201960936,9886
2021-01-28,18407.326171875,18830.798250793578,18361.35312156217,18787.293701428734,12175
2021-01-29,18181.451171875,18677.844109938083,17960.605582528973,18626.937763488146,18837
2021-02-01,18098.94921875,18396.366524031426,17816.617197325053,18396.366524031426,17218
2021-02-02,19562.505859375,19650.085748496986,18260.67930657573,18339.434119901052,24991
2021-02-03,19944.80078125,20115.6888807658,19261.720956582347,19736.14758112871,11582
2021-02-04,20099.982421875,20210.571997264226,19655.255693912168,20020.801368181932,11736
2021-02-05,19838.384765625,20281.73640708514,19339.098971365274,20134.66416647236,4954
2021-02-08,20386.16015625,20447.26482265521,19838.386436526634,19838.386436526634,15009
2021-02-09,20084.61328125,20631.864374800694,20020.80290233143,20631.864374800694,2446
2021-02-10,20473.9296875,20531.23894262104,20068.246729230483,20101.456593794224,22164
2021-02-11,19891.048828125,20316.941258762567,19831.033857241244,20164.081363647547,6514
2021-02-12,19651.603515625,19959.932612339584,19617.539316130424,19736.14596253992,2154
2021-02-15,19935.455078125,20035.559096560744,19636.898030694294,19868.038313043256,5794
2021-02-16,20208.724609375,20400.34478103832,19769.357372694576,19769.357372694576,16907
2021-02-17,20677.9765625,20874.76907432829,20024.59666111928,20125.175093931957,10730
2021-02-18,20687.5625,20874.249381336904,20495.230682984173,20732.444001074266,4537
2021-02-19,20597.08984375,20779.88679849306,20382.317274814126,20600.553528862227,3462
2021-02-22,19949.1171875,20596.757721618374,19877.478766346354,20596.757721618374,8249
2021-02-23,19940.91015625,20352.90148130731,19799.197445870428,20126.1255627044,4487
2021-02-24,20671.2890625,20778.88753014195,19973.359367169433,19973.359367169433,3519
2021-02-25,21217.353515625,21349.195919802656,20416.047028768407,20497.125789314534,8776
2021-02-26,21664.927734375,22035.929332699365,20753.3170295409,20753.3170295409,12004
2021-03-01,22913.5234375,23246.90262759735,21989.577664699063,21989.672179370144,17103
2021-03-02,23786.470703125,23911.007693794138,22910.347414080527,23246.856740951094,9923
2021-03-03,24634.31640625,24670.18379937298,23626.44525401489,23863.65855977809,10555
2021-03-04,24851.3203125,25175.590902289914,24025.818006377904,24385.52789349175,5399
2021-03-05,24386.6640625,24954.93258992408,23818.111991065594,24670.230311576965,6030
2021-03-08,25195.515625,25572.6365802678,24395.015268689887,24812.27345478115,5446
2021-03-09,24979.130859375,25593.370642866386,24670.184610437784,25290.402910722532,4945
2021-03-10,24572.783203125,25227.68279782667,24324.231847111274,24955.07653045833,2818
2021-03-12,25937.234375,26330.534032844884,24484.208374015474,24484.208374015474,8718
2021-03-15,26046.685546875,26947.432691477152,25808.808774935864,26388.558119108136,10404
2021-03-16,26595.693359375,27175.251817285047,26216.815512254823,26302.117790774377,9375
2021-03-17,26531.69140625,26817.581626684732,26188.349234486413,26567.89052773984,4168
2021-03-18,26147.025390625,26980.35572527826,25334.380797315058,26776.63768165659,5536
2021-03-19,26174.2109375,26567.93869832809,25310.659981105346,25808.807928249873,11797
2021-03-22,26032.59375,26454.88160881821,25240.44402500008,26174.115575716223,11794
2021-03-23,26579.041015625,26757.66264659027,25991.843530638107,26354.400000320737,4075
2021-03-24,26949.8984375,27326.97308255578,26206.425599477778,26559.350817840932,10338
2021-03-25,26814.0703125,27180.138638707547,26518.598892172828,26664.722293098323,7040
2021-03-26,27265.203125,27713.678976049257,25761.365265955916,26805.103821851,12380
2021-03-30,28203.427734375,28494.06221716231,27536.243074833696,27872.563357613817,10407
2021-03-31,28879.9140625,29270.2244684063,27863.075126904532,28038.612974630647,11229
2021-04-01,28088.85546875,29414.45168509525,27896.28643683227,28717.044524174442,8475
2021-04-05,26737.306640625,28351.732089553378,26387.891468537382,28351.732089553378,6292
2021-04-06,26187.54296875,27042.31702954511,25999.527330756686,26852.54638372374,3561
2021-04-07,25760.794921875,26470.014490694037,25619.98473917436,26354.397101239505,5154
